vendor,current_price,old_price,product_name,month
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,6.99,"White Potatoes, 10 lb Bag",11
Loblaws,4,5.99,"White Potatoes, 10 lb Bag",11
Metro,5.99,6.99,White Potatoes,7
Metro,5.99,6.99,White Potatoes,7
Metro,5.99,6.99,White Potatoes,7
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,9
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,3.9899999999999998,5.99,Washed White Potatoes,10
Metro,5.99,6.99,Local Washed White Potatoes,7
Metro,2,2.4899999999999998,Sliced White Potatoes,6
Metro,2,2.4899999999999998,Sliced White Potatoes,6
Metro,2,2.4899999999999998,Sliced White Potatoes,6
Metro,2,2.4899999999999998,Sliced White Potatoes,6
